PLAYER_ID,PLAYER_NAME,TEAM_ID,SEASON
1627815,Sheldon Mac,1610612764,2017
201146,Yi Jianlian,1610612751,2009
202353,Tibor Pleiss,1610612762,2015
201579,Roy Hibbert,1610612754,2011
2561,David West,1610612744,2017
202083,Wesley Matthews,1610612742,2016
202720,Jon Leuer,1610612749,2011
1536,Stephen Jackson,1610612766,2010
201609,Goran Dragic,1610612748,2014
202326,DeMarcus Cousins,1610612747,2019
201594,Walter Sharpe,1610612763,2011
203568,Damen Bell-Holter,1610612738,2013
202345,Damion James,1610612764,2014
2743,Kris Humphries,1610612737,2016
1628983,Shai Gilgeous-Alexander,1610612746,2018
2211,Troy Murphy,1610612742,2012
201584,Courtney Lee,1610612752,2018
2557,Luke Ridnour,1610612753,2014
203176,Kyle Fogg,1610612743,2013
2574,Jason Kapono,1610612755,2009
201604,Chris Douglas-Roberts,1610612747,2012
202691,Klay Thompson,1610612744,2012
1628383,Justin Patton,1610612750,2017
1629673,Jordan Poole,1610612744,2019
1627827,Dorian Finney-Smith,1610612742,2016
201960,DeMarre Carroll,1610612761,2016
203460,Andre Roberson,1610612760,2017
2401,Nikoloz Tskitishvili,1610612746,2015
1629721,JaKeenan Gant,1610612754,2019
203460,Andre Roberson,1610612760,2015
201566,Russell Westbrook,1610612745,2019
2243,Brian Scalabrine,1610612741,2010
1713,Vince Carter,1610612758,2017
1628401,Derrick White,1610612759,2018
202354,Dexter Pittman,1610612763,2012
201949,James Johnson,1610612748,2018
203543,Vitor Faverani,1610612738,2013
101106,Andrew Bogut,1610612744,2013
203203,Chris Wright,1610612740,2012
1626164,Devin Booker,1610612756,2019
201145,Jeff Green,1610612746,2015
203512,Lucas Nogueira,1610612761,2015
201155,Rodney Stuckey,1610612765,2012
203099,Jared Cunningham,1610612749,2015
203480,James Southerland,1610612757,2014
202331,Paul George,1610612754,2012
101162,Marcin Gortat,1610612764,2015
1629167,Justin Bibbs,1610612738,2018
201564,O.J. Mayo,1610612763,2009
200765,Rajon Rondo,1610612741,2016
204075,Talib Zanna,1610612760,2014
2399,Mike Dunleavy,1610612741,2015
203943,Noah Vonleh,1610612757,2017
2748,Dorell Wright,1610612757,2014
965,Derek Fisher,1610612747,2010
201151,Acie Law,1610612763,2010
948,Marcus Camby,1610612757,2010
1629648,Jordan Bone,1610612765,2019
202130,Reggie Williams,1610612766,2011
203943,Noah Vonleh,1610612750,2019
201580,JaVale McGee,1610612743,2013
203952,Andrew Wiggins,1610612750,2019
201945,Gerald Henderson,1610612755,2016
203078,Bradley Beal,1610612764,2013
200770,Jordan Farmar,1610612763,2015
202694,Marcus Morris Sr.,1610612765,2015
202334,Ed Davis,1610612763,2013
2406,Caron Butler,1610612765,2014
2422,John Salmons,1610612761,2013
203094,Andrew Nicholson,1610612753,2014
201950,Jrue Holiday,1610612740,2018
201565,Derrick Rose,1610612765,2019
1626154,RJ Hunter,1610612738,2015
201154,Al Thornton,1610612746,2009
200826,J.J. Barea,1610612742,2015
202390,Gary Neal,1610612759,2011
203123,Kostas Papanikolaou,1610612745,2014
201142,Kevin Durant,1610612760,2009
203500,Steven Adams,1610612760,2019
1627851,Mindaugas Kuzminskas,1610612752,2016
2733,Shaun Livingston,1610612745,2012
2424,Dan Dickau,1610612756,2009
202545,Luke Zeller,1610612756,2012
200783,Craig Smith,1610612746,2010
202686,Jan Vesely,1610612764,2012
1627734,Domantas Sabonis,1610612754,2019
201952,Jeff Teague,1610612737,2012
2217,Brendan Haywood,1610612742,2010
204179,Omari Johnson,1610612754,2018
201985,AJ Price,1610612739,2014
201567,Kevin Love,1610612750,2011
202326,DeMarcus Cousins,1610612740,2016
201988,Patty Mills,1610612757,2009
2753,Delonte West,1610612739,2009
101187,Alan Anderson,1610612761,2012
1628021,David Nwaba,1610612739,2018
1627766,Isaiah Cousins,1610612762,2018
204215,Bubu Palo,1610612748,2019
203147,Chris Smith,1610612752,2013
203081,Damian Lillard,1610612757,2013
